Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
3	1840	39.451	-35.5935	76.5288	
3	1857	39.6187	-35.438	76.0192	
3	1873	39.5799	-35.6526	75.972	
3	1890	39.5909	-35.828	75.8996	
3	1907	39.5988	-35.9712	75.8581	
3	1923	39.62	-35.7003	76.2512	
3	1940	39.5464	-35.2327	76.9024	
3	1957	39.4993	-35.4438	76.8449	
3	1973	39.515	-35.5333	76.9531	
3	1990	39.4606	-35.7548	76.8844	
3	2007	39.4913	-35.871	76.8838	
3	2023	39.4109	-36.1245	76.8933	
3	2040	39.4121	-36.3801	76.7901	
3	2057	39.4529	-36.4647	76.809	
3	2073	39.43	-36.6861	76.7654	
3	2090	39.441	-36.9062	76.711	
3	2107	39.4453	-37.0481	76.7345	
3	2123	39.4119	-37.2999	76.6806	
3	2140	39.4446	-37.4893	76.5991	
3	2157	39.4522	-37.6599	76.5957	
3	2173	39.47	-37.8407	76.5916	
3	2190	39.4745	-37.9877	76.5732	
3	2207	39.4825	-38.1634	76.4995	
3	2223	39.4999	-38.3001	76.5031	
3	2240	39.5005	-38.539	76.4832	
3	2257	39.5165	-38.6437	76.4434	
3	2273	39.5558	-38.8203	76.3553	
3	2290	39.5151	-39.0168	76.3526	
4	7	40.6419	-46.6028	86.7601	
4	23	40.5963	-46.7112	86.6875	
4	40	40.5594	-46.707	86.7431	
4	57	40.5777	-46.6129	86.8032	
4	73	40.5601	-46.6348	86.7898	
4	90	40.5352	-46.5951	86.8659	
4	107	40.5073	-46.5945	86.8948	
4	123	40.503	-46.5154	86.9514	
4	140	40.4969	-46.475	86.926	
4	157	40.4467	-46.5982	86.9658	
4	173	40.4212	-46.484	87.0786	
4	190	40.3854	-46.5362	87.1045	
4	207	40.37	-46.5181	87.0669	
4	223	40.3477	-46.5174	87.1712	
4	240	40.324	-46.4789	87.1681	
4	257	40.2892	-46.4821	87.2101	
4	273	40.2366	-46.5115	87.2353	
4	290	40.2362	-46.4942	87.2705	
4	307	40.2228	-46.4336	87.2958	
4	323	40.199	-46.343	87.3523	
4	340	40.1284	-46.4487	87.3647	
4	357	40.0744	-46.426	87.3686	
4	373	40.0726	-46.358	87.42	
4	390	40.0309	-46.365	87.4229	
4	407	40.0003	-46.3037	87.4825	
4	423	39.9787	-46.3166	87.4946	
4	440	39.9279	-46.3229	87.5162	
4	457	39.9006	-46.2551	87.5418	
4	473	39.8668	-46.2622	87.5585	
4	490	39.8268	-46.2548	87.5667	
4	507	39.8228	-46.223	87.5692	
4	523	39.7636	-46.2204	87.5654	
4	540	39.748	-46.1849	87.5709	
4	557	39.6753	-46.3098	87.6152	
4	573	39.6711	-46.1858	87.5635	
4	590	39.6594	-46.2045	87.672	
4	607	39.6383	-46.2337	87.6031	
4	623	39.5453	-46.2673	87.631	
4	640	39.5752	-46.2429	87.6221	
4	657	39.4867	-46.3293	87.5683	
4	673	39.5015	-46.2046	87.6523	
4	690	39.5268	-46.1975	87.6146	
4	707	39.4487	-46.2145	87.6016	
4	723	39.4356	-46.2658	87.5674	
4	740	39.4543	-46.1812	87.5496	
4	757	39.374	-46.2469	87.5882	
4	773	39.3471	-46.232	87.5485	
4	790	39.3892	-46.1265	87.529	
4	807	39.3177	-46.1748	87.4492	
4	823	39.3615	-46.0938	87.4234	
4	840	39.2838	-46.0567	87.4488	
4	857	39.3061	-46.0511	87.3471	
4	873	39.3026	-45.9623	87.3732	
4	890	39.2572	-45.9679	87.2777	
4	907	39.244	-45.8674	87.3028	
4	923	39.2948	-45.6666	87.2357	
4	940	39.2536	-45.6239	87.2143	
4	957	39.2632	-45.4628	87.1524	
4	973	39.2158	-45.4241	87.2052	
4	990	39.2209	-45.3059	87.0758	
4	1007	39.2309	-45.1523	87.0612	
4	1023	39.2469	-44.9166	87.0208	
4	1040	39.2734	-44.7278	86.9676	
4	1057	41.1446	-42.2309	84.6237	
4	1073	41.1016	-42.0558	84.5604	
4	1090	41.1145	-41.7767	84.624	
4	1107	41.0785	-41.58	84.5159	
4	1123	41.0819	-41.4192	84.5008	
4	1140	41.0403	-41.1078	84.5534	
4	1157	41.0339	-40.913	84.5318	
4	1173	40.9932	-40.7085	84.511	
4	1190	40.9882	-40.4477	84.5206	
4	1207	40.9482	-40.2066	84.5386	
4	1223	40.9413	-39.9323	84.5366	
4	1240	40.913	-39.6678	84.5315	
4	1257	40.924	-39.3826	84.5617	
4	1273	40.8653	-39.1721	84.5441	
4	1290	40.9824	-39.8082	82.0044	
4	1307	40.998	-39.4835	82.0328	
4	1323	40.9331	-39.2865	81.9877	
4	1340	40.9542	-38.9574	82.1006	
4	1357	40.9008	-38.6907	82.1986	
4	1373	40.89	-38.4336	82.2498	
4	1390	40.8199	-38.1984	82.2494	
4	1407	40.8267	-37.9177	82.34	
4	1423	40.6868	-37.8493	82.3699	
4	1440	40.7111	-37.5861	82.4149	
4	1457	40.6378	-37.3752	82.4776	
4	1473	40.6029	-37.1922	82.5245	
4	1490	40.6761	-36.9677	82.4269	
4	1507	40.611	-36.8591	82.4768	
4	1523	40.5632	-36.749	82.5155	
4	1540	40.0476	-37.5218	79.581	
4	1557	39.8316	-37.71	78.6283	
4	1573	39.8325	-37.6245	78.6302	
4	1590	39.7364	-37.5937	78.6078	
4	1607	39.6564	-37.5313	78.0836	
4	1623	39.5636	-37.5476	78.0414	
4	1640	39.5296	-37.5033	78.0875	
4	1657	39.5467	-37.4724	78.0363	
4	1673	39.5021	-37.4592	78.032	
4	1690	39.451	-37.5712	77.9539	
4	1707	39.4418	-37.573	77.95	
4	1723	39.3815	-37.6345	77.9198	
4	1740	39.3457	-37.7278	77.9528	
4	1757	39.3773	-37.7493	77.8665	
4	1773	39.3138	-37.947	77.7862	
4	1790	39.3088	-38.004	77.8038	
4	1807	39.2614	-38.1787	77.7802	
4	1823	39.3154	-38.2821	77.7133	
4	1840	39.2191	-38.5185	77.1514	
4	1857	39.3824	-38.3782	76.5633	
4	1873	39.3409	-38.5939	76.5088	
4	1890	39.3481	-38.7683	76.4402	
4	1907	39.3536	-38.9108	76.4018	
4	1923	39.3667	-38.6358	76.8134	
4	1940	39.2792	-38.1524	77.5361	
4	1957	39.2261	-38.3587	77.4981	
4	1973	39.2399	-38.4459	77.6154	
4	1990	39.1837	-38.6666	77.5493	
4	2007	39.2071	-38.7808	77.5544	
4	2023	39.1251	-39.0327	77.5703	
4	2040	39.1208	-39.286	77.4745	
4	2057	39.1571	-39.3684	77.5007	
4	2073	39.1306	-39.5878	77.4638	
4	2090	39.136	-39.8051	77.4186	
4	2107	39.1358	-39.9443	77.4515	
4	2123	39.1006	-40.1944	77.4034	
4	2140	39.1254	-40.3806	77.3313	
4	2157	39.1299	-40.5483	77.3374	
4	2173	39.1428	-40.7264	77.3421	
4	2190	39.1436	-40.8706	77.3328	
4	2207	39.1478	-41.044	77.2661	
4	2223	39.1631	-41.1782	77.2782	
4	2240	39.1603	-41.4138	77.2689	
4	2257	39.1747	-41.5159	77.2376	
4	2273	39.2108	-41.6897	77.1586	
